"What role does sustainable research play in Strategy 2030 at the University of Exeter?","b","a, c, d"
"How does the Green Futures Solutions initiative contribute to achieving net zero goals?","a","b, c, d"
"What is the purpose of the Sustainable Research Thematic Forum at the University of Exeter?","c","a, b, d"
"What are the priority areas addressed by the Sustainable Research Thematic Forum?","b","a, c, d"
"How does the University optimize the operation of ultra-low temperature freezers (ULT) in labs?","c","a, b, d"
"What program addresses sustainability in laboratories at the University of Exeter?","d","a, b, c"
"What does the equipment sharing database on LabCup aim to achieve?","c","a, b, d"
"What is a major challenge addressed by the equipment sharing database in labs?","b","a, c, d"
"What does the University of Exeter aim to achieve by directing funding towards trial schemes and initiatives dedicated to sustainability in research activities?","d","a, b, c"
"How does the University of Exeter contribute to industry collaboration in achieving net zero?","d","a, b, c"
